Store name,Store Address,Store timings,Store Phone Number,latitude,longitude
V-Mart,"No D 3, Block 1, Central Market 2, Lajpat Nagar, South East Delhi, Delhi, 110024",10:00 AM to 10:00 PM,0844 8982 285,28.568548,77.242454
V-Mart,"Shop No 610 And 611, Ravi Das Marg, Main Bazar Road, Guru Ram Das Nagar, Laxmi Nagar, New Delhi, Delhi, 110092",10:00 AM to 10:00 PM,0931 3699 995,28.6365793,77.2790923
V-Mart,"C 7, Jyoti Nagar West, North Chajjupur, Block A, Shahdara, New Delhi, Delhi, 110032",10:00 AM to 10:00 PM,0931 0965 120,28.689468,77.2880388
V-Mart,"No E/561/A & E/561B, Palam Extension, Dwarka, New Delhi, Delhi, 110075",10:00 AM to 10:00 PM,0704 2989 955,28.583891,77.071784
V-Mart,"Virendar Nagar, Block B, Sant Nagar, 100 feet Road, near Axis Bank, Burari, North Delhi, Delhi, 110084",10:00 AM to 10:00 PM,0928 9551 045,28.7427944,77.1980152
V-Mart,"Raghuveer Complex, Main Dadri Road, Bhangel, Noida, Gautam Buddha Nagar, Uttar Pradesh, 201304",10:00 AM to 10:00 PM,0846 7922 637,28.53891,77.38914
V-Mart,"Main Road, Gandhi Nagar, Near Snapdeal, Nehru Nagar, Ghaziabad, Uttar Pradesh, 201001",11:00 AM to 10:00 PM,0928 9792 511,28.656525,77.436216
V-Mart,"Ground Floor, Kali Mandir, Opposite Old Nit Bus Stand, New Industrial Town, Faridabad, Haryana, 121001",10:00 AM to 10:00 PM,0928 9447 776,28.3839105,77.2888889
V-Mart,"Plot No 63, Block A, Pana Udyan, Narela, North West Delhi, Delhi, 110040",10:00 AM to 10:00 PM,0742 8495 287,28.852096,77.088581
V-Mart,"Mangla Tower, Main Badshahpur Sohna Road, Sector 66, Near Mamta Sweets, Badshahpur, Gurugram, Haryana, 122101",10:00 AM to 10:00 PM,0981 0891 205,28.390745,77.049525
V-Mart,"Bhatia Complex, Agra Chowk, Moti Colony, Palwal, Faridabad, Haryana, 121102",11:00 AM to 10:00 PM,0966 7738 051,28.136079,77.329172
V-Mart,"Satyam Palace 552, Budhana Gate, Nigar Cinema Road, Jattiwara, Meerut, Uttar Pradesh, 250002",10:00 AM to 10:00 PM,0936 8356 534,28.9814074,77.7000097
V-Mart,"Khasra No, 6051, Garh Road, Opposite Tanishq Showroom, Tejgarhi, Meerut, Uttar Pradesh, 250002",10:00 AM to 10:00 PM,0931 9697 765,28.9664249,77.7319766
V-Mart,"House No 15, GT Rd, South Civil Lines, Muzaffarnagar, Uttar Pradesh, 251002",10:00 AM to 10:00 PM,0936 8019 700,29.47054961,77.69670381
V-Mart,"House No 15, Gt Road, South Civil Lines, Muzaffarnagar, Uttar Pradesh, 251002",10:00 AM to 10:00 PM,0936 8019 700,29.4705398,77.6967287
V-Mart,"Narendra Banquet Hall, Ramghat Road, Shyam Nagar, Aligarh, Uttar Pradesh, 202001",10:00 AM to 10:00 PM,0935 9758 123,27.8898629,78.0817169
V-Mart,"Shop No I/4/145, Gt Road, Vaishnodham, Near Etah Chungi, Kunwar Nagar, Aligarh, Uttar Pradesh, 202002",10:00 AM to 10:00 PM,0844 8858 304,27.8736699,78.0993629
V-Mart,"Kot Chauraha, Danishmandan, Amroha, Jyotiba Phule Nagar, Uttar Pradesh, 244221",10:00 AM to 10:00 PM,0828 7830 228,28.9007261,78.4698382
V-Mart,"Sn Tower, Krishna Vihar Road, Professor Colony, Mathura, Uttar Pradesh, 281001",10:00 AM to 10:00 PM,0936 8894 723,27.493156,77.66852
V-Mart,"Shop No 141, Shri Mukesh Ji Mall, Sikatra Walagroup, Nayaganj, Hathras, Uttar Pradesh, 204101",10:00 AM to 10:00 PM,0935 8233 270,27.592931,78.053467
V-Mart,"City Tower, Nh 58, Opposite Roadways Bus Stand, Manglaur, Roorkee, Uttarakhand, 247656",10:00 AM to 10:00 PM,0844 8599 931,29.7941454,77.8742929
V-Mart,"Plot No. 2, Shivaji Colony, Delhi Road, Near South City, Police Line, Saharanpur, Uttar Pradesh, 247001",10:00 AM to 10:00 PM,0931 9697 764,29.941583,77.542028
V-Mart,"Plot No 864, Bahjoi Road, Sambhal, Near SS International School, Vikas Nagar, Moradabad, Uttar Pradesh, 202412",10:00 AM to 10:00 PM,0844 8855 637,28.4608843,78.7698985
V-Mart,"Uttam Hotel, Ambala Road, Subhash Nagar, Saharanpur, Uttar Pradesh, 247001",10:00 AM to 10:00 PM,0931 9493 020,29.9647332,77.5452831
V-Mart,"Ward No 18, Part 2, Ramnagar, Ramnagar, Roorkee, Uttarakhand, 247667",11:00 AM to 10:00 PM,0959 9805 700,29.87255281,77.8763536
V-Mart,"Reti Street, Chowmukha Pul, Purani Kotwali, Civil Lines, Moradabad, Uttar Pradesh, 244001",10:00 AM to 10:00 PM,0935 8846 761,28.8386472,78.7733288
V-Mart,"Reti Street, Chowmukha Pul, Purani Kotwali, Civil Lines, Moradabad, Uttar Pradesh, 244001",10:00 AM to 10:00 PM,0935 8846 761,28.8386481,78.7733287
V-Mart,"Plot No R/104, Sankalp Complex, Phase 3, Bhel, Phase 3, Bhel, Shivalik Nagar, Haridwar, Uttarakhand, 249403",11:00 AM to 10:00 PM,0966 7759 868,29.933744,78.0766888
V-Mart,"400, Awas Vikas, Ranipur Mode Bypass Road, Prem Nagar, Haridwar, Uttarakhand, 249407",10:00 AM to 10:00 PM,0752 0401 086,29.9346176,78.1343112
V-Mart,"400, Awas Vikas, Ranipur Mode, Haridwar, Uttarakhand, 249407",10:00 AM to 10:00 PM,0752 0401 086,29.9346336,78.13431225
V-Mart,"Fdra Plaza, Malipur Road, Shahzad Pur, Akbarpur, Ambedkar Nagar, Uttar Pradesh, 224122",10:00 AM to 10:00 PM,0933 6330 986,28.9832763,78.9331454
V-Mart,"C 1/13, Gemini Plaza, Sector No 13, Near HDFC Bank, Sikandra Yojna, Agra, Uttar Pradesh, 282007",10:00 AM to 10:00 PM,0742 8389 500,27.2043993,77.9546203
V-Mart,"Plot No 775, Block E, Pani Tanki Road, Kamla Nagar, Kamla Nagar, Agra, Uttar Pradesh, 282005",10:00 AM to 10:00 PM,0935 8980 471,27.2145802,78.0216571
V-Mart,"No 3/67, Rui Ki Mandi Market, Shahganj, Agra, Uttar Pradesh, 282001",10:00 AM to 10:00 PM,0729 0048 105,27.1757195,77.9887907
V-Mart,"Ground Floor, Shaukat Ali Road, Opposite Shiv Cinema, Civil Lines, Rampur, Uttar Pradesh, 244901",10:00 AM to 10:00 PM,0977 3989 145,28.7898413,79.0213417
V-Mart,"Devi Road, Sitabpur Patti, Sukharo, Pauri Garhwal, Sukharo, Kotdwar, Uttarakhand, 246149",11:00 AM to 10:00 PM,0813 0918 811,29.743323,78.51104589
V-Mart,"Khasra No 52, Mc No 58/293C, Vip Road, Saraikhwaja, Agra, Uttar Pradesh, 282001",10:00 AM to 10:00 PM,0742 8661 176,27.162393,77.985875
V-Mart,"Plot No 157, Shashmabad Road, Rajpura, Tajganj, Agra, Uttar Pradesh, 282003",10:00 AM to 10:00 PM,0931 9255 722,27.1539534,78.0343772
V-Mart,"Priya Mall, Railway Crossing, Bajpur Road, Near Maharana Pratap Chowk, Kashipur, Udham Singh Nagar, Uttarakhand, 244713",10:00 AM to 10:00 PM,0935 8855 677,29.211397,78.961885
V-Mart,"Vijay Nagar, GT Road, Opposite Medical Collage, Babuganj, Etah, Uttar Pradesh, 272207",11:00 AM to 10:00 PM,0959 9298 108,27.557718,78.66046
V-Mart,"Ground Floor, Rishikesh Haridwar Road, Opposite Icici Bank, Mayakund, Rishikesh, Uttarakhand, 249201",10:00 AM to 10:00 PM,0982 1189 475,30.108024,78.300875
V-Mart,"Lakshmi Bldg Jogipura, Jogipura, Budaun, Uttar Pradesh, 243601",10:00 AM to 10:00 PM,0752 0914 322,28.03328413,79.12763184
V-Mart,"Lakshmi Building, Gandhi Ground Road, Jogipura, Budaun, Uttar Pradesh, 243601",10:00 AM to 10:00 PM,0752 0914 322,28.0332759,79.1276356
V-Mart,"Shop No 16/Da, Sn Road, Near Yes Bank, Nai Basti, Firozabad, Uttar Pradesh, 283203",10:00 AM to 10:00 PM,0935 9081 611,27.1515617,78.3886578
V-Mart,"2526 A/2637, Blk 2, Jagadhari Gate, Patel Road, Jogiwara, Old Town, Ambala, Haryana, 134003",10:00 AM to 10:00 PM,0935 4668 787,30.3842684,76.773335
V-Mart,"Walia Compound, Saharanpur Road, Majra, Near Royal Enfield Showroom, Niranjanpur, Dehradun, Uttarakhand, 248001",10:00 AM to 10:00 PM,0844 8382 153,30.3049837,78.0127213
V-Mart,"Dehradun Haridwar Road, Ajabpur Kalan, Near Vidhan Sabha Chowk, Dharampur, Dehradun, Uttarakhand, 248001",11:00 AM to 10:00 PM,0959 9806 006,30.29398075,78.05835493
V-Mart,"No 03/02, Chakarta Road, Kishan Nagar Chowk, Chakrata, Dehradun, Uttarakhand, 248001",10:00 AM to 10:00 PM,0936 8214 722,30.329948,78.029991
V-Mart,"Shop No 03/02, Chakarta Road, Kishan Nagar Chowk, Kishan Nagar Chowk, Dehradun, Uttarakhand, 248001",10:00 AM to 10:00 PM,0936 8214 722,30.33348323,78.02556904
V-Mart,"Ground Floor, Raipur Road, Near Servey Chowk, Dalanwala, Dehradun, Uttarakhand, 248001",10:00 AM to 10:00 PM,0844 8982 288,30.324251,78.057111
V-Mart,"Main Road, Purani Bazar, Rasoolpur, Adjacent Smile Store, Vikasnagar, Dehradun, Uttarakhand, 248198",11:00 AM to 10:00 PM,0981 0847 660,30.4743345,77.781702
V-Mart,"16/2, Divine Tower, Civil Lines, Kichha, Udham Singh Nagar, Uttarakhand, 263153",10:00 AM to 10:00 PM,0935 9865 304,28.9812848,79.3987042
V-Mart,"Kapil Hosiery, Macinor Road, Opposite Gala Agency, Brahampura, Bareilly, Uttar Pradesh, 243005",10:00 AM to 10:00 PM,0966 7300 354,28.3736924,79.4222491
V-Mart,"Jk Hotel, Shayamat Ganj, College Road, Near Vikas Bhawan, Rampur Garden, Bareilly, Uttar Pradesh, 243001",10:00 AM to 10:00 PM,0935 8886 200,28.3377618,79.4195354
V-Mart,"Jk Hotel, Shayamat Ganj, College Road, Near Vikas Bhawan, Rampur Garden, Bareilly, Uttar Pradesh, 243001",10:00 AM to 10:00 PM,0935 8886 200,28.3377618,79.4195354
V-Mart,"Sco. No Bus Stand 3 & 4, Sector 19, Zirakpur, Punjab, 140603",10:00 AM to 10:00 PM,0742 8389 505,30.6606763,76.8244899
V-Mart,"Plot No 51, Amer Road, Chaukadi, Near Kacha Bandha, Subhash Chowk, Jaipur, Rajasthan, 302002",10:00 AM to 10:00 PM,0729 0026 402,26.929489,75.8320812
V-Mart,"Kedia Palace Road, Murlipura, Theme Colony, Jaipur, Rajasthan, 302039",11:00 AM to 10:00 PM,0981 0848 981,26.970102,75.765961
V-Mart,"Shop No 345/1, Fashion Street, Raja Park, Jawahar Nagar, Jaipur, Rajasthan, 302004",10:00 AM to 10:00 PM,0742 8399 967,26.8957823,75.8269077
V-Mart,"Kaladhungi Road, Heera Nagar, Haldwani, Nainital, Uttarakhand, 263139",10:00 AM to 10:00 PM,0936 8165 995,29.2174651,79.5207781
V-Mart,"Plot No 1 And 2, Kanta Chauraha, Kalawar Road, Kalyan Kunj Colony, Kalawar Road, Jhotwara, Jaipur, Rajasthan, 302012",10:00 AM to 10:00 PM,0742 8389 506,26.945385,75.739721
V-Mart,"Sco 44, Chandigarh Panchkula Road, Manimajra, Sector 13, Chandigarh, Chandigarh, 160101",10:00 AM to 10:00 PM,0935 6347 954,30.7101368,76.8393662
V-Mart,"Station Road, Adjacent Purshotum Collection, Jeevalal Colony, Mainpuri, Uttar Pradesh, 205001",10:00 AM to 10:00 PM,0730 3585 365,27.226951,79.0338691
V-Mart,"Plot No 21, Barkat Nagar, Tonk Fatak, Jaipur, Rajasthan, 302015",10:00 AM to 10:00 PM,0813 0403 831,26.8782336,75.7939452
V-Mart,"Plot No 95, Mangal Nagar Yojna, Sirsi Road, Kanakpura, Jaipur, Rajasthan, 302015",10:00 AM to 10:00 PM,0730 3182 345,26.92311,75.719729
V-Mart,"Plot No 9, Vishwa Nagar, New Sanganer Road, Sodala, Jaipur, Rajasthan, 302019",10:00 AM to 10:00 PM,0931 1775 492,26.88571,75.768012
V-Mart,"No 10/167, Chitrakoot Marg, In Front Of Sector 9 Gate No 2, Sanjay Nagar, Jaipur, Rajasthan, 302021",10:00 AM to 10:00 PM,0742 8787 733,26.899919,75.738951
V-Mart,"Agarwal Farm, Vijay Path, Mansarovar, Jaipur, Rajasthan, 302020",11:00 AM to 10:00 PM,0928 9662 262,26.84806323,75.77046624
V-Mart,"Plot No 111/14, Kumbha Marg, Sector 11, Pratap Nagar, Jaipur, Rajasthan, 302011",10:00 AM to 10:00 PM,0880 0837 840,26.8017495,75.8215715
V-Mart,"New Sanganer Road, Dada Gurudev Nagar, Adjoining Chordia Petrol Pump, Kamla Nagar, Jaipur, Rajasthan, 302029",10:00 AM to 10:00 PM,0931 9255 766,26.8188937,75.7816784
V-Mart,"Godavari Complex Chawla Chauraha, Station Road, Desh Nager, Pilibhit, Uttar Pradesh, 262001",10:00 AM to 10:00 PM,0846 7922 644,28.6279332,79.80418
V-Mart,"Mohalla Ahayaspur, Near Eidgah Chauraha, Bisalpur, Pilibhit, Uttar Pradesh, 262201",10:00 AM to 10:00 PM,0813 0038 079,28.2859851,79.799661
V-Mart,"Iti Chauraha, Thandi Sadak, Shyam Nagar, Farrukhabad, Uttar Pradesh, 209625",10:00 AM to 10:00 PM,0938 9322 279,27.3795924,79.585212
V-Mart,"Pn 1280, Swaroop Nagar, Chogurjee Nagar, Etawah, Uttar Pradesh, 206001",10:00 AM to 10:00 PM,0931 1549 688,26.7835812,79.0241804
V-Mart,"Mohalla Khirni Bagh, Bahadur Ganj Road, Sadar Bazar, Sadar Bazaar, Shahjahanpur, Uttar Pradesh, 242001",10:00 AM to 10:00 PM,0935 9963 364,27.8858698,79.9147557
V Mart,"Kachcha Katra Road, Near Kotwali, Aligai, Shahjahanpur, Uttar Pradesh, 242001",10:00 AM to 10:00 PM,0981 8328 316,27.868745,79.910895
V-Mart,"Plot No 562, Ward No 2, Shabd Pratap Ashram Road, Gd Palace, Surya Nagar, Gird, Gwalior, Madhya Pradesh, 474008",10:00 AM to 10:00 PM,0730 3585 368,26.2153156,78.16229
V-Mart,"Chitra Talkies, Nai Sadak, Opposite Filmistan Tilkis, Gird, Gwalior, Madhya Pradesh, 474009",10:00 AM to 10:00 PM,0742 8199 090,26.2054155,78.1517824
V-Mart,"Plot No 184, Ek Roxy Bridge, Roxy Pul, Idgah, Lashkar, Gwalior, Madhya Pradesh, 474001",10:00 AM to 10:00 PM,0730 3585 367,26.1952052,78.1513555
V-Mart,"Ganeshganj, Main Kotwali Road, Puranpur, Pilibhit, Uttar Pradesh, 262122",10:00 AM to 10:00 PM,0966 7738 716,28.5106063,80.1452862
V-Mart,"Alanpur Link Road, Near Old Honda Showroom, Jeenapur, Sawai Madhopur, Rajasthan, 322001",10:00 AM to 10:00 PM,0959 9806 900,26.008907,76.358488
V-Mart,"Lucknow Road, Near Axis Bank, Sadar Bazar, Hardoi, Uttar Pradesh, 241001",10:00 AM to 10:00 PM,0730 3630 067,27.391977,80.132229
V-Mart,"Makrand Nagar Road, Yusufpur Bhagwan, Near Axis Bank, Makrand Nagar, Kannauj, Uttar Pradesh, 209726",10:00 AM to 10:00 PM,0844 8528 657,27.047288,79.910076
V-Mart,"Kanpur Road, Opposite Punjab National Bank, Brahm Nagar, Auraiya, Uttar Pradesh, 206122",10:00 AM to 10:00 PM,0982 1189 492,26.457714,79.514776
V-Mart,"N Shanti Tower, Nakoder Road, Shastri Nagar, Civil Lines, Jalandhar, Punjab, 144001",10:00 AM to 10:00 PM,0935 6244 279,31.324611,75.575051
V-Mart,"544, 07, Laxmi Chowk, Dargah Bazar, Naya Bazar, Ajmer, Rajasthan, 305001",10:00 AM to 10:00 PM,0935 2868 890,26.4605904,74.6297738
V-Mart,"Br Tower, Ab Road, Bank Colony, Shivpuri, Madhya Pradesh, 473551",10:00 AM to 10:00 PM,0930 0392 950,25.4247071,77.657974
V-Mart,"City Centre Complex, Police Line, Bahadur Nagar, Lakhimpur, Kheri, Uttar Pradesh, 262701",10:00 AM to 10:00 PM,0933 6091 526,27.9491004,80.7822942
V-Mart,"Rc Towers Eye Hospital Rd, Prem Nagar, Sitapur, Uttar Pradesh, 261001",10:00 AM to 10:00 PM,0938 9760 960,27.5643688,80.676184
V-Mart,"Babina Heights, Patel Nagar, Orai, Uttar Pradesh, 285001",10:00 AM to 10:00 PM,0846 7922 667,25.9908156,79.4349615
V-Mart,"No 301, Ashaf Tola, Opposite PWD Inspection House, Sandila, Hardoi, Uttar Pradesh, 241204",10:00 AM to 10:00 PM,0880 0837 230,27.0617846,80.5101772
V-Mart,"Plot No 372/18, Block D, Gwalior Road, Civil Lines, Jhansi, Uttar Pradesh, 284002",10:00 AM to 10:00 PM,0933 6091 586,25.463039,78.578418
V-Mart,"Kile Ki Dhal, Gandhi Chowk, Chak Ghishiyader, Nagaur, Rajasthan, 341001",10:00 AM to 10:00 PM,0935 2308 124,27.285318,73.688762
V-Mart,"Shop No 1/20, Ambedakar Puram, Kalyanpur, Kanpur Nagar, Uttar Pradesh, 208017",10:00 AM to 10:00 PM,0742 8495 286,26.4889411,80.2548641
V-Mart,"Rawatpur Main Road, Kakadeo, Adjacent Rave Moti Mall, Naveen Nagar, Kanpur Nagar, Uttar Pradesh, 208025",11:00 AM to 10:00 PM,0813 0938 833,26.480971,80.2977933
V-Mart,"Building No 180 And 181 Vivek Nagar, Sidhauli, Sitapur, Uttar Pradesh, 261303",10:00 AM to 10:00 PM,0737 9566 600,27.2814249,80.8375595
V-Mart,"118/79, Gumti, No 5, Kaushalpuri, Darshan Purwa, Shastri Nagar, Kanpur, Uttar Pradesh, 208012",10:00 AM to 10:00 PM,0930 5045 172,26.4683532,80.3158237
V-Mart,"Plot No 104, 439A, P Road, Rambagh Chauraha, Ram Bagh, Rambagh, Kanpur, Uttar Pradesh, 208004",10:00 AM to 10:00 PM,0844 8855 749,26.4725142,80.3301408
V-Mart,"No 1 49 W 1, 127/49, W 1, Gaushala Road, Saket Nagar, Juhi Kalan, Juhi, Kanpur, Uttar Pradesh, 208014",10:00 AM to 10:00 PM,0933 6893 586,26.441014,80.309507
V-Mart,"Plot No 44A/1, Karrahi Road, Near Maya Market, Barra, Kanpur Nagar, Uttar Pradesh, 208027",10:00 AM to 10:00 PM,0931 1388 651,26.425354,80.304121
V-Mart,"43A/3, Lovekush Vihar, Hamirpur Road, Naubasta, Naubasta, Kanpur Nagar, Uttar Pradesh, 208021",10:00 AM to 10:00 PM,0920 5364 279,26.409792,80.317153
V-Mart,"Shop No 6/392, Rahul Bhawan, Rajdhani Marg, Sarvodaya Nagar, Shuklaganj, Unnao, Uttar Pradesh, 209861",10:00 AM to 10:00 PM,0844 8085 172,26.4853838,80.3919781
V-Mart,"No 128/105/B, Raman Bihari Bhawan, Yashoda Nagar, Yashoda Nagar, Kanpur, Uttar Pradesh, 208011",10:00 AM to 10:00 PM,0730 3134 964,26.410799,80.330228
V-Mart,"Palampur City Mall, Main Market Road, Near HDFC Bank, Palampur, Kangra, Himachal Pradesh, 176052",10:00 AM to 10:00 PM,0730 3200 879,32.1052151,76.5339596
V-Mart,"Plot No 291, Shahganj Sadar Bazaar, Ab Nagar, Unnao, Uttar Pradesh, 209801",10:00 AM to 10:00 PM,0880 0837 092,26.5416112,80.4817349
V-Mart,"Kota Road, Infront of Government Senior Secondary School, Bara Pancharole, Baran, Rajasthan, 325205",11:00 AM to 10:00 PM,0928 9551 044,25.099224,76.504117
V-Mart,"Chandel Market, Harjindar Nagar Chouraha, Lal Bangla, Harjinder Nagar, Kanpur Nagar, Uttar Pradesh, 208007",10:00 AM to 10:00 PM,0730 3182 526,26.416747,80.3917865
V-Mart,"Main Road, Opposite Bus Stand, Adarsh Colony, Kangra, Himachal Pradesh, 176001",10:00 AM to 10:00 PM,0730 3184 440,32.1139666,76.279339
V-Mart,"Khasra No 27, Sitapur Road, Opposite Bakshi Ka Talab Railway Station, Bakshi Ka Talab, Lucknow, Uttar Pradesh, 226201",10:00 AM to 10:00 PM,0742 8389 508,26.989236,80.9204145
V-Mart,"Plot No 5, Dubagga Chauraha, Sitapur Bypass, Hardoi Road, Opposite Chandaiya Eid Gaah, Aman Colony, Lucknow, Uttar Pradesh, 226101",10:00 AM to 09:30 PM,0730 3527 326,26.876641,80.854282
V-Mart,"1 Ch 19, Shopping Complex, Basant Vihar, Dadabari, Kota, Rajasthan, 324009",10:00 AM to 10:00 PM,0930 9048 423,25.1551677,75.827248
V-Mart,"House No 3A1, Rangbari Road, Talwandi, Kota, Rajasthan, 324005",10:00 AM to 10:00 PM,0730 3585 366,25.1421323,75.8381878
V-Mart,"Ground Floor, Mohan Road, Near Budheshwar Temple, Budheshwar Chauraha, Lucknow, Uttar Pradesh, 226003",10:00 AM to 10:00 PM,0742 8495 289,26.8408418,80.8546051
V-Mart,"E 2169, Old Taxi Stand, Rajajipuram, Lucknow, Uttar Pradesh, 226017",10:00 AM to 10:00 PM,0844 8491 987,26.8408935,80.8765482
V-Mart,"439 C/193 N Tehsim Ganj Chowk, Thakurganj, Lucknow, Uttar Pradesh, 226003",10:00 AM to 10:00 PM,0728 9005 834,26.8712852,80.8991997
V-Mart,"Shop No Cd/7, 98, Dalali Mohalla Chowk, Sabzi Mandi, Opposite Avadh Public School, Saadatganj, Lucknow, Uttar Pradesh, 226003",10:00 AM to 10:00 PM,0933 5640 068,26.868346,80.901683
